place,category,x,y,address
투썸플레이스 가산하이엔드클래식점,음식점 > 카페 > 커피전문점 > 투썸플레이스,37.47386451915164,126.8891610497474,서울 금천구 가산동 219-6
C27 현대시티아울렛 가산점,음식점 > 카페 > 테마카페 > 디저트카페,37.4776415410424,126.889150949351,서울 금천구 가산동 60-8
이디야커피 가산오거리점,음식점 > 카페 > 커피전문점 > 이디야커피,37.4788605948938,126.890103355677,서울 금천구 가산동 140-5
우주라이크커피 가산디지털단지점,음식점 > 카페 > 커피전문점,37.477226125323,126.891033932687,서울 금천구 가산동 143-6
메가MGC커피 금천가산점,음식점 > 카페 > 커피전문점 > 메가MGC커피,37.475875277203144,126.89274638900986,서울 금천구 가산동 152-11
더벤티 가산테라타워점,음식점 > 카페 > 커피전문점 > 더벤티,37.4745390908899,126.889820272531,서울 금천구 가산동 219
매머드익스프레스 가산테라타워점,음식점 > 카페 > 커피전문점 > 매머드익스프레스,37.47424181082107,126.88987723430174,서울 금천구 가산동 219-5
빽다방 가산두산위브점,음식점 > 카페 > 커피전문점 > 빽다방,37.47443924849682,126.8939445211737,서울 금천구 가산동 769
어블리컴퍼니,음식점 > 카페,37.4786048348093,126.890239399001,서울 금천구 가산동 140-7
센치커피,음식점 > 카페 > 커피전문점,37.47740835139548,126.89425348922651,서울 금천구 가산동 151-1
별콩다방 가산디지털점,음식점 > 카페,37.478678783266,126.889343876012,서울 금천구 가산동 140-29
에그카페24,음식점 > 카페 > 테마카페 > 무인카페,37.47476892891143,126.8948529897263,서울 금천구 독산동 147-36
엘티커피바,음식점 > 카페,37.47502956958822,126.89114791270391,서울 금천구 가산동 233-5
하이베를리너,음식점 > 카페,37.4770259784475,126.890900818461,서울 금천구 가산동 143-15
빌에반스,음식점 > 카페,37.478175469510866,126.89567126955826,서울 금천구 가산동 147-1
드롭탑 가산센트럴시티점,음식점 > 카페 > 커피전문점 > 드롭탑,37.47523721705163,126.89062191860924,서울 금천구 가산동 233-5
이디야커피 가산두산위브점,음식점 > 카페 > 커피전문점 > 이디야커피,37.47560070337373,126.89300454176193,서울 금천구 가산동 153-1
원투데이커피,음식점 > 카페,37.4776747831114,126.892956362411,서울 금천구 가산동 145-4
셀렉토커피 가산노블루체점,음식점 > 카페 > 커피전문점 > 셀렉토커피,37.476594292204496,126.89078952225805,서울 금천구 가산동 144-5
더카페 가산노블루체점,음식점 > 카페 > 커피전문점 > 더카페,37.476799960003696,126.89104698745878,서울 금천구 가산동 144-5
에그카페 가산점,음식점 > 카페 > 테마카페 > 무인카페,37.47327860336962,126.89479063940622,서울 금천구 독산동 297-4
더카페 독산점,음식점 > 카페 > 커피전문점 > 더카페,37.473535176801214,126.8955646701099,서울 금천구 독산동 148-36
12st 카페,음식점 > 카페 > 커피전문점,37.4779105397391,126.889683047053,서울 금천구 가산동 140-38
콜롬비아퍼펙토 현대아울렛 가산점,음식점 > 카페,37.47762523058514,126.88905261486168,서울 금천구 가산동 60-8
성송다방,음식점 > 카페 > 다방,37.4752725647543,126.89583810023,서울 금천구 독산동 147-48
오슬로카페,음식점 > 카페,37.4768661704285,126.892507558053,서울 금천구 가산동 151-49
함께그린카페 가산점,음식점 > 카페,37.4772725167844,126.891512089295,서울 금천구 가산동 144-1
프릇오어커피(fruit or coffee),음식점 > 카페,37.4737740714918,126.890723534866,서울 금천구 가산동 236-11
좋은공간,음식점 > 카페,37.4754760653263,126.893671729828,서울 금천구 가산동 772
엣모스피어,음식점 > 카페,37.4785678067374,126.889181237197,서울 금천구 가산동 140-30
하이힐아울렛 키즈카페,"가정,생활 > 유아 > 놀이시설 > 키즈카페",37.477583808637,126.889078678928,서울 금천구 가산동 60-8
슬라바 커피로스터스,음식점 > 카페,37.4745930670234,126.889729752276,서울 금천구 가산동 219-5
카페인잇 현대시티아울렛 가산점,음식점 > 카페,37.4776189256533,126.889054885299,서울 금천구 가산동 60-8
삼호,음식점 > 카페 > 커피전문점,37.4781908322863,126.890737453972,서울 금천구 가산동 143-1
블랙슈가,음식점 > 카페,37.4775838107596,126.88908094004,서울 금천구 가산동 60-8
비니(Beany),음식점 > 카페,37.476853719805206,126.89072131193475,서울 금천구 가산동 143-17
퍼스트클래스 현대아울렛가산점,음식점 > 카페 > 테마카페,37.4776162236913,126.889056019852,서울 금천구 가산동 60-8
스위트번스 금천LG점,음식점 > 카페 > 커피전문점 > 스위트번스,37.4752737385809,126.889204189558,서울 금천구 가산동 219-24
카와블러썸,음식점 > 카페,37.47780078938743,126.89181883823352,서울 금천구 가산동 142-34
간식꾸러미,음식점 > 카페 > 테마카페 > 디저트카페,37.4769966343834,126.892307264023,서울 금천구 가산동 145-20
유니카페,음식점 > 카페,37.4770232681161,126.890892908556,서울 금천구 가산동 143-15
미스에이드카페,음식점 > 카페,37.4737445869024,126.891973910759,서울 금천구 가산동 236-8
프룻오어커피,음식점 > 카페,37.4737650634979,126.890725808981,서울 금천구 가산동 236-11
압구정커피&브레드,음식점 > 카페,37.4788607549276,126.894227700507,서울 구로구 가리봉동 137-5
카페오실,음식점 > 카페,37.4768661704285,126.892507558053,서울 금천구 가산동 151-49
온초점,음식점 > 카페,37.478803381627905,126.90296600514937,서울 금천구 독산동 959
플레이스디,음식점 > 카페 > 테마카페 > 애견카페,37.4765566587926,126.899132979652,서울 금천구 독산동 967-14
메가MGC커피 금천독산점,음식점 > 카페 > 커피전문점 > 메가MGC커피,37.47586993586999,126.898953017465,서울 금천구 독산동 967-9
카페더코너스톤,음식점 > 카페,37.4746612439717,126.897399057713,서울 금천구 독산동 147-13
쉬즈베이글 금천구점,음식점 > 카페,37.4761108094834,126.898257413716,서울 금천구 독산동 145-14
워커힐 7080라이브,음식점 > 카페 > 테마카페 > 라이브카페,37.4759376716865,126.89809032953428,서울 금천구 독산동 145-8
커피에반하다 신독산점 스마트카페,음식점 > 카페 > 커피전문점 > 커피에반하다,37.4757416884952,126.897553593848,서울 금천구 독산동 144-58
사이커피로스터스,음식점 > 카페 > 커피전문점,37.4769762143478,126.899822050485,서울 금천구 독산동 955
아자아자 AZAZA,음식점 > 카페 > 커피전문점,37.4751509044402,126.899981629324,서울 금천구 독산동 968-1
대우다방,음식점 > 카페 > 다방,37.475979505682,126.89749674254,서울 금천구 독산동 144-55
청룡다방,음식점 > 카페 > 다방,37.4762051651138,126.899015876198,서울 금천구 독산동 967-12
잭,음식점 > 카페 > 테마카페 > 라이브카페,37.4756546246394,126.900047659246,서울 금천구 독산동 969
카페인사계 독산점,음식점 > 카페 > 테마카페 > 무인카페,37.4785464055922,126.900571785084,서울 금천구 독산동 953
더카페 독산 르네상스점,음식점 > 카페,37.4785707033116,126.900536705136,서울 금천구 독산동 953
그래버커피,음식점 > 카페 > 커피전문점,37.4808986192636,126.891995269531,서울 구로구 가리봉동 134-119
만남커피숍,음식점 > 카페 > 다방,37.4798739564616,126.890780227009,서울 구로구 가리봉동 135-9
나포리커피숍,음식점 > 카페 > 커피전문점,37.4796683258778,126.890563453171,서울 구로구 가리봉동 135-10
모닥불,음식점 > 카페,37.4803978944559,126.89225376708,서울 구로구 가리봉동 134-58
앱카페 가리봉점,음식점 > 카페,37.4799560024796,126.890838898457,서울 구로구 가리봉동 135-9
두즈커피,음식점 > 카페 > 커피전문점,37.4791736719863,126.893521776424,서울 구로구 가리봉동 136-98
스타벅스 구로하이엔드점,음식점 > 카페 > 커피전문점 > 스타벅스,37.4816313144481,126.893179103414,서울 구로구 구로동 235-2
폴바셋 구로G타워점,음식점 > 카페 > 커피전문점 > 폴바셋,37.4798780623171,126.895316157667,서울 구로구 구로동 832
팀홀튼 구로하이엔드점,음식점 > 카페,37.48160905772328,126.89347648775448,서울 구로구 구로동 235-2
그럼블아카이브,음식점 > 카페,37.4799118747698,126.892831067302,서울 구로구 가리봉동 134-177
ㅋㅋ다방,음식점 > 카페,37.48002215540607,126.89523907622164,서울 구로구 구로동 832
레드애플커피 넷마블G타워점,음식점 > 카페,37.4798492340775,126.895320720251,서울 구로구 구로동 832
더치앤빈 구로디지털2호점,음식점 > 카페 > 커피전문점,37.4815342384273,126.893437022363,서울 구로구 구로동 235-2
디저트39 지타워몰점,음식점 > 카페 > 테마카페 > 디저트카페 > 디저트39,37.4798780613155,126.895315027076,서울 구로구 구로동 832
바나프레소 구로비즈메트로점,음식점 > 카페 > 바나프레소,37.48070777160533,126.89316911208724,서울 구로구 구로동 851
더그릭베어 구로지타워몰점,음식점 > 카페,37.4798780613155,126.895315027076,서울 구로구 구로동 832
더벤티 구로대륭포스트8차점,음식점 > 카페 > 커피전문점 > 더벤티,37.481007132123,126.894422531715,서울 구로구 구로동 235-3
커피마마퀸 구로디지털점,음식점 > 카페 > 커피마마퀸,37.480777016197806,126.89302203473436,서울 구로구 구로동 851
로쿠커피,음식점 > 카페,37.4811800953936,126.895401398362,서울 구로구 구로동 222-14
카페IMT 지타워점,음식점 > 카페 > 커피전문점,37.480026916712816,126.89552850180408,서울 구로구 구로동 832
커피쿡 구로디지털점,음식점 > 카페 > 커피전문점,37.48160995975,126.893477617092,서울 구로구 구로동 235-2
보은하다,음식점 > 카페,37.481610862796,126.893479877047,서울 구로구 구로동 235-2
더카페 구로지타워점,음식점 > 카페 > 커피전문점 > 더카페,37.4798474300588,126.895318461584,서울 구로구 구로동 832
쑤다방,음식점 > 카페,37.4803892342978,126.892638183541,서울 구로구 가리봉동 134-31
델리뉴스 구로에이스점,음식점 > 카페,37.4812007895352,126.895368581758,서울 구로구 구로동 222-14
코앤커피 구로본점,음식점 > 카페,37.48160995975,126.893477617092,서울 구로구 구로동 235-2
카페 구디스,음식점 > 카페,37.4815342384273,126.893437022363,서울 구로구 구로동 235-2
브라운블룸,음식점 > 카페,37.481610862796,126.893479877047,서울 구로구 구로동 235-2
카페게이트 남구로점,음식점 > 카페 > 커피전문점 > 카페게이트,37.4844921942805,126.889455152764,서울 구로구 구로동 797-46
백련다방,음식점 > 카페 > 다방,37.482171772837,126.889108077086,서울 구로구 가리봉동 110-9
더착한커피 지하이시티구로점,음식점 > 카페 > 커피전문점 > 더착한커피,37.4819981876864,126.892365662241,서울 구로구 구로동 237
엘림커피숍,음식점 > 카페 > 다방,37.4839814028175,126.891485429606,서울 구로구 구로동 252-96
커피코트 구로e스페이스점,음식점 > 카페,37.4837751086252,126.892511228506,서울 구로구 구로동 212-26
오닉스갤러리카페,음식점 > 카페,37.48421642186941,126.89231273116424,서울 구로구 구로동 197-30
스타벅스 구로에이스점,음식점 > 카페 > 커피전문점 > 스타벅스,37.4842382622588,126.894550272167,서울 구로구 구로동 212-1
투썸플레이스 구로대륭1차점,음식점 > 카페 > 커피전문점 > 투썸플레이스,37.4837840865324,126.8954882203754,서울 구로구 구로동 212-8
공차 구로디지털2호점,음식점 > 카페 > 공차,37.4836804096866,126.895419395158,서울 구로구 구로동 212-8
로그커피로스터스,음식점 > 카페,37.4844966397661,126.893310703493,서울 구로구 구로동 197-48
만랩커피 구로코오롱타워점,음식점 > 카페 > 커피전문점,37.483003109135915,126.89571091354333,서울 구로구 구로동 222-8
커피코트 구로코오롱점,음식점 > 카페 > 커피전문점,37.483095294864896,126.89603188742302,서울 구로구 구로동 222-8
미다원 구로점,음식점 > 카페 > 전통찻집,37.483563344788706,126.8954941810916,서울 구로구 구로동 212-8
매머드익스프레스 구로에이스테크노타워3차점,음식점 > 카페 > 커피전문점 > 매머드익스프레스,37.4844894317107,126.893310713743,서울 구로구 구로동 197-48
모도커피,음식점 > 카페,37.4833184731487,126.893701320399,서울 구로구 구로동 212-13
에이그레이트카페 구로직영점,음식점 > 카페 > 커피전문점,37.4821089288924,126.895281387846,서울 구로구 구로동 222-12
오가다 서울구로디지털점,음식점 > 카페 > 전통찻집 > 오가다,37.48356875683175,126.8955009574416,서울 구로구 구로동 212-8
에이그레이트카페,음식점 > 카페,37.4834244235279,126.895306687377,서울 구로구 구로동 212-8
써니커피,음식점 > 카페,37.4834331201373,126.892945886481,서울 구로구 구로동 212-16
더카페 구로한신점,음식점 > 카페 > 커피전문점 > 더카페,37.4825010114544,126.894430605445,서울 구로구 구로동 235
커피:D,음식점 > 카페 > 커피전문점,37.4833066674441,126.893598448516,서울 구로구 구로동 212-13
카페두다트 구로디지털점,음식점 > 카페,37.4835687568318,126.895500957442,서울 구로구 구로동 212-8
바이올렛에스프레소,음식점 > 카페 > 커피전문점,37.4844868998133,126.894504696242,서울 구로구 구로동 212-1
메가MGC커피 구로디지털탑프라자점,음식점 > 카페 > 커피전문점 > 메가MGC커피,37.481510604823505,126.89727210879428,서울 구로구 구로동 830-1
와드커피 구로한영시티점,음식점 > 카페 > 커피전문점,37.4810831006006,126.896783139681,서울 구로구 구로동 830
매머드익스프레스 구로대진월드타워점,음식점 > 카페 > 커피전문점 > 매머드익스프레스,37.4817800826651,126.89840236095,서울 구로구 구로동 1130-14
커피사피엔스 구로한영캐슬시티점,음식점 > 카페 > 커피전문점 > 커피사피엔스,37.4810831006006,126.896783139681,서울 구로구 구로동 830
컴포즈커피 구로한영캐슬시티점,음식점 > 카페 > 커피전문점 > 컴포즈커피,37.48103980086395,126.8967244075253,서울 구로구 구로동 830
남자커피를말하다,음식점 > 카페 > 커피전문점,37.4799152691797,126.896641160723,서울 구로구 구로동 1274
히든보드카페,"가정,생활 > 여가시설 > 보드카페",37.4816799364139,126.899297947258,서울 구로구 구로동 1127-18
커피사피엔스 구로넷마블점,음식점 > 카페 > 커피전문점 > 커피사피엔스,37.4810831006006,126.896783139681,서울 구로구 구로동 830
보드피플 보드게임방,"가정,생활 > 여가시설 > 보드카페",37.48123141751922,126.900578402919,서울 관악구 신림동 1666-16
백억커피 구로점,음식점 > 카페 > 커피전문점,37.4815860341867,126.901198642445,서울 관악구 신림동 1666
데이즈라이크디스,음식점 > 카페 > 커피전문점,37.4812927008882,126.901672755851,서울 관악구 신림동 1663-26
솔티스윗,음식점 > 카페 > 테마카페 > 디저트카페,37.4806908926382,126.901751556165,서울 관악구 신림동 1664-21
이디야커피 관악하나로마트점,음식점 > 카페 > 커피전문점 > 이디야커피,37.480010443029485,126.90261282945184,서울 관악구 신림동 1668
귀빈,음식점 > 카페 > 다방,37.4797721415204,126.902086283371,서울 관악구 신림동 1667-22
준커피숍,음식점 > 카페 > 다방,37.4814547994227,126.901573049211,서울 관악구 신림동 1663
카페리코,음식점 > 카페,37.4801090190908,126.901966000638,서울 관악구 신림동 1667-33
