place,category,x,y,address
롯데시네마 가산디지털,"문화,예술 > 영화,영상 > 영화관 > 롯데시네마",37.478019960086,126.889145868138,서울 금천구 가산동 60-8
롯데시네마 신대방,"문화,예술 > 영화,영상 > 영화관 > 롯데시네마",37.48653388706543,126.90500256135137,서울 동작구 신대방동 686-48
G밸리산업박물관,"문화,예술 > 문화시설 > 박물관",37.4799176625706,126.895266356332,서울 구로구 구로동 832
극장 칸테움,"문화,예술 > 문화시설 > 공연장,연극극장",37.4821427337399,126.898921958134,서울 구로구 구로동 1127-22
행복한아이,"문화,예술 > 문화시설 > 전시관",37.480306916587,126.908294835037,서울 금천구 독산동 901-1
뮤지트,"문화,예술 > 문화시설 > 공연장,연극극장",37.4812305241222,126.900587449005,서울 관악구 신림동 1666-16
에너지정보관,"문화,예술 > 문화시설 > 전시관",37.4803537690018,126.908294777779,서울 금천구 독산동 901-1
오씨어터,"문화,예술 > 문화시설 > 공연장,연극극장",37.4768653649104,126.891625732559,서울 금천구 가산동 113-1
롯데시네마 신림,"문화,예술 > 영화,영상 > 영화관 > 롯데시네마",37.4837168847,126.930193627803,서울 관악구 신림동 1641-2
호림박물관,"문화,예술 > 문화시설 > 박물관",37.4807502545322,126.918166742193,서울 관악구 신림동 1707
삼모아트센터,"문화,예술 > 문화시설 > 공연장,연극극장",37.4822384711187,126.928919654579,서울 관악구 신림동 1638-1
틈새소극장,"문화,예술 > 문화시설 > 공연장,연극극장",37.4839163301012,126.938908519826,서울 관악구 봉천동 948-15
실린더,"문화,예술 > 문화시설 > 미술관",37.4837944274097,126.943817908997,서울 관악구 봉천동 908-66
시립보라매청소년센터 다이나믹홀,"문화,예술 > 문화시설 > 공연장,연극극장",37.493874995836705,126.92180378902933,서울 동작구 신대방동 722
산수문화,"문화,예술 > 문화시설 > 전시관",37.4856885888714,126.919341786104,서울 관악구 신림동 481-5
라이브홀더클럽,"문화,예술 > 문화시설 > 공연장,연극극장",37.483193795046,126.923554981022,서울 관악구 신림동 1578-2
딥숲,"문화,예술 > 문화시설 > 공연장,연극극장",37.4801295888994,126.928057876536,서울 관악구 신림동 1635-63
해피로브레인문화원,"문화,예술 > 문화시설 > 문화원",37.4876970826257,126.932510142329,서울 관악구 봉천동 968-36
CGV 영등포,"문화,예술 > 영화,영상 > 영화관 > CGV",37.5175176380239,126.902756404631,서울 영등포구 영등포동4가 442
롯데시네마 영등포,"문화,예술 > 영화,영상 > 영화관 > 롯데시네마",37.51626572006917,126.90784590233508,서울 영등포구 영등포동 618-496
디큐브링크아트센터,"문화,예술 > 문화시설 > 공연장,연극극장",37.5091267288182,126.889588489589,서울 구로구 신도림동 692
씨네Q 신도림,"문화,예술 > 영화,영상 > 영화관",37.507516152916054,126.89003874131905,서울 구로구 구로동 3-25
영등포문화원,"문화,예술 > 문화시설 > 문화원",37.516115816593,126.912133103463,서울 영등포구 영등포동 582-3
아트필드갤러리,"문화,예술 > 문화시설 > 미술관",37.5137738662507,126.895259783495,서울 영등포구 문래동2가 14-61
문래예술공장,"문화,예술 > 문화시설 > 공연장,연극극장",37.513223072829,126.900137835853,서울 영등포구 문래동1가 30
구로구민회관 대강당,"문화,예술 > 문화시설 > 공연장,연극극장",37.4971290233331,126.889674007092,서울 구로구 구로동 102
아트리움,"문화,예술 > 문화시설 > 공연장,연극극장",37.5176632672583,126.904557026037,서울 영등포구 영등포동4가 442
문래재즈인,"문화,예술 > 문화시설 > 공연장,연극극장",37.5161339303745,126.890659535745,서울 영등포구 문래동4가 7-1
서울생활문화센터 신도림,"문화,예술 > 문화시설 > 전시관",37.508263597201896,126.89156678441512,서울 구로구 구로동 3-42
꼴라보하우스 문래,"문화,예술 > 문화시설 > 전시관",37.51377930754613,126.8932860001195,서울 영등포구 문래동2가 47-4
구루지,"문화,예술 > 문화시설 > 미술관",37.4969989740255,126.889348513494,서울 구로구 구로동 102
